462,112,0.000862,6.674473,12
216,79,0.000395,7.104452,15
269,69,0.000373,6.236167,13
286,87,0.000381,6.713562,17
16,16,0.000029,5.555555,10
257,48,0.000517,6.155148,12
206,48,0.000315,6.259787,14
168,49,0.000286,6.870044,11
45,19,0.000072,5.566929,7
174,69,0.000284,7.673774,13
45,31,0.000123,7.757812,15
380,101,0.000649,6.831901,11
104,47,0.000175,5.671378,13
377,102,0.000735,6.287081,14
89,41,0.000251,5.734694,13
376,102,0.001046,6.235407,10
110,50,0.000245,6.013333,10
112,59,0.000337,6.460784,19
137,28,0.000308,6.922667,18
152,66,0.000416,6.900474,16
399,98,0.001114,6.314079,14
195,48,0.000488,6.339622,10
251,71,0.000613,6.695335,15
181,60,0.000465,7.118367,14
289,87,0.000661,6.287671,13
290,81,0.000956,6.476846,15
146,67,0.000487,6.771289,15
17,15,0.000056,5.300000,7
143,57,0.000385,6.714286,13
433,108,0.001196,6.601829,16
237,68,0.000779,6.582946,14
220,62,0.000505,6.299003,12
237,80,0.000352,6.510769,16
318,93,0.000668,6.567010,13
396,118,0.001126,6.547445,14
66,53,0.000258,9.174864,17
252,64,0.000755,6.138528,14
312,94,0.001609,6.489607,14
191,70,0.000679,6.619231,12
165,75,0.000427,7.522421,13
126,28,0.000319,5.779710,8
88,45,0.000232,7.190871,19
374,111,0.001196,6.269305,11
242,80,0.000718,6.775384,16
422,94,0.000817,6.516239,14
82,46,0.000175,8.658009,20
19,18,0.000056,7.592593,14
158,47,0.000427,6.780093,15
315,95,0.001019,6.418098,11
282,88,0.000895,7.368011,16
308,62,0.000828,7.066667,12
111,51,0.000323,6.903974,15
201,51,0.000663,6.092391,11
319,100,0.000809,7.132420,16
335,90,0.001202,6.501085,12
45,36,0.000107,7.228346,16
204,62,0.000427,6.587388,8
117,58,0.000240,8.228395,12
100,57,0.000342,7.080000,17
91,48,0.000275,6.160643,16
233,77,0.000585,6.822684,19
133,27,0.000301,6.210959,13
459,89,0.000882,6.670616,15
196,74,0.000500,7.155722,18
238,96,0.000750,8.197227,14
20,20,0.000089,8.109091,16
174,57,0.000457,7.222222,17
259,83,0.000775,6.873061,15
82,43,0.000237,6.942983,19
165,56,0.000376,6.169643,10
389,114,0.000552,6.425532,16
138,44,0.000439,6.562500,16
161,73,0.000387,7.337054,15
183,64,0.000482,6.607646,18
269,73,0.000669,6.108725,11
191,62,0.000290,6.950000,20
163,46,0.000421,6.193694,14
286,74,0.000754,6.638677,16
241,80,0.000778,6.262444,10
325,91,0.000733,6.593050,17
120,41,0.000265,6.020833,11
293,77,0.000704,6.871128,21
71,39,0.000173,5.454082,11
18,17,0.000087,7.326923,13
119,41,0.000534,5.883234,7
159,67,0.000402,7.498835,17
89,41,0.000256,6.086066,11
359,121,0.001026,6.866197,17
240,44,0.000498,5.918305,8
399,106,0.000886,6.302430,12
439,117,0.000845,6.793585,21
151,72,0.000447,7.068558,18
189,58,0.000665,6.454369,12
70,26,0.000232,9.000000,14
146,40,0.000269,6.571429,12
146,37,0.000382,6.402500,17
131,38,0.000385,6.994413,8
71,31,0.000241,5.413265,9
211,64,0.000627,6.622838,14
181,83,0.000618,7.017787,13
